id,created_at,text
1.05E+18,10/17/2018 19:20,rt if they care they'll show you
1.05E+18,10/17/2018 19:20,rt pisces men be having different shorties and be in love with all of them in the very same way lmao
1.05E+18,10/17/2018 14:17,rt it not worth the argument so i just won say anything at all
1.05E+18,10/16/2018 21:03,depression at its finest
1.05E+18,10/15/2018 23:51,rt what more important money power or respect
1.05E+18,10/15/2018 21:49,rt los angeles people n nthank you for the unconditional love
1.05E+18,10/14/2018 16:04,rt i am unfuckingbreakable
1.05E+18,10/14/2018 16:03,rt let people say and think whatever they want about you just keep opening and purifying your heart
1.05E+18,10/13/2018 23:01,rt may your heart sing forever nwhere the sea meets the river nand start it all over again n nstartitall
1.05E+18,10/13/2018 23:00,rt you gotta pat your own self on the back
1.05E+18,10/13/2018 23:00,rt when phora said nmaybe i just was not worth it to you nmaybe i just was not perfect for you nthat hit hard
1.05E+18,10/13/2018 22:59,rt listen ndo not reject people nreaffirm that their feelings are valid time and time again nmake sure th
1.05E+18,10/13/2018 22:58,rt phora music takes me to a whole different level
1.05E+18,10/13/2018 22:57,rt all this love all the love we xe x xve been missing feels like we deserving after all we xe x xve been through
1.05E+18,10/13/2018 19:00,i felt that in my chest aa
1.05E+18,10/13/2018 14:07,rt to protect your mental health nit okay to n n cancel a commitment n not answer that call n want to be alone n take a
1.05E+18,10/13/2018 14:07,rt nothing ever stays the way it was
1.05E+18,10/13/2018 2:01,rt i don think my family proud of me i know my followers proud of me that probably why they follow me
1.05E+18,10/13/2018 1:59,rt mood n xe x xbb xef xb xfretweet
1.05E+18,10/13/2018 0:37,when phora said i know nwhat it's like to lose somebody you love nand i know what it's like to lose yourself to the
1.05E+18,10/13/2018 0:33,rt this movement is not about women vs men or even human vs monster it's about bringing down an institutionalized toxic amp
1.05E+18,10/13/2018 0:33,rt mental health may be invisible but it is real do not struggle in silence yourself and make sure to reach out to the ones
1.05E+18,10/13/2018 0:33,rt fall in love with her scars
1.05E+18,10/12/2018 17:23,rt when phora said trapped in my insecurities knowing i could not free myself i felt that
1.05E+18,10/12/2018 17:23,you say you need some time but that not gonna change how much i love you i still wanna call you mine so imma keep callin you mine e
1.05E+18,10/12/2018 17:22,rt say you need some time but i won back down
1.05E+18,10/12/2018 17:21,rt i goin insane for your love right now
1.05E+18,10/12/2018 17:21,rt no offense but you a shitty person if you think people aren smart or valuable for not finishing school right away due to
1.05E+18,10/12/2018 17:16,rt when phora said i would never switch on myself to be accepted by everyone else everybody fake everybody two-faced everyb
1.05E+18,10/12/2018 17:16,and when in all reality nobody understands
1.05E+18,10/12/2018 17:15,rt lol ppl say they understand
1.05E+18,10/12/2018 17:15,rt sleepless nights again fuck
1.05E+18,10/12/2018 17:14,rt i want to starve myself until i'm either dead or skinny cq
1.05E+18,10/12/2018 17:14,rt i'm so disgusting and clingy god i hate everything and i want it all to end cq
1.05E+18,10/12/2018 17:14,rt let me bleed red until its all i can see let me drown in my damn misery cq
1.05E+18,10/12/2018 17:05,i wish i never knew what depression was because then i wouldn have self diagnosed myself with it aa i would just w
1.05E+18,10/12/2018 17:00,rt you nhave nsurvived n nof nyour nworst ndays nyou nwill nsurvive ntoday ntoo a n nworldmentalhealthday
1.05E+18,10/12/2018 16:59,rt we need to change the fact that people are only considered worthy of help when they reach crisis point people shouldn
