id,created_at,text
1.07E+18,11/25/2018 22:32,omg lol same
1.07E+18,11/25/2018 22:32,rt i got goggle marks
1.07E+18,11/23/2018 20:27,rt i legit so thankful for the twins they xe x xve helped so many people through tough times and made so many people happy inclu
1.07E+18,11/23/2018 3:39,aww
1.07E+18,11/23/2018 3:37,the theme from the sleeping beauty on flite and yes i got glasses tweet me any suggestions to play
1.07E+18,11/23/2018 3:36,rt happy thanksgiving everyone thankful for all of you and love all of you too haha xef xb xf
1.07E+18,11/23/2018 3:34,rt if you can read this you xe x xve helped me reach followers thank you
1.06E+18,11/19/2018 12:40,rt wow surpassed billion views on our channel thanks for watching us do stuff
1.06E+18,11/19/2018 12:40,look at this she is amazing lol
1.06E+18,11/19/2018 12:38,rt omg this is the cutest thing ever awhhhh
1.06E+18,11/19/2018 12:38,rt fuck yeah i did
1.06E+18,11/18/2018 16:38,rt this looks like a police sketch made of me in after an incident involving the thames river and a crest steamboat
1.06E+18,11/17/2018 23:14,i still care about you and you should know that
1.06E+18,11/17/2018 23:13,i'm still here for you and btw people have been saying really mean things behind my back and no one h
1.06E+18,11/10/2018 15:48,lol i wake up at am
1.06E+18,11/6/2018 23:22,rt is no shave november going well or is my beard just filled in with a brow pen
1.06E+18,11/5/2018 12:42,rt if you know where we live please do not come to our house we will not take a picture with you on or anywhere near our pr
1.06E+18,11/5/2018 12:41,rt happy halloween have a fun safe night everyone a this is my favorite day omfg
1.06E+18,11/4/2018 2:44,i love when the trees change colors lol
1.06E+18,11/3/2018 3:27,rt idk what to caption this i just looking sideways i guess
1.06E+18,11/1/2018 22:32,rt saying emma chamberlain times in one breath
1.06E+18,11/1/2018 0:58,omg i need that my two actually three favorite youtubers doing a coll
1.06E+18,10/31/2018 23:13,rt sister stapled a
1.06E+18,10/31/2018 23:13,rt i have like different sources of stress right now and am so over it
1.06E+18,10/31/2018 23:13,this was my halloween costume i hope everyone has a fun safe night and gets lots of candy xf xf xd xac xf xf xd xad xf xf xd xab
1.06E+18,10/31/2018 23:11,aww
1.06E+18,10/31/2018 23:11,rt went trick or treating with the little cuz
1.06E+18,10/31/2018 19:46,rt happy halloween have a fun safe night everyone a
1.06E+18,10/31/2018 19:46,rt happy halloween i going trick or treating today i swear idgaf
1.06E+18,10/30/2018 23:59,rt i love halloween
1.06E+18,10/25/2018 1:55,hey guys plz follow my makeup account on instagram at and plz retweet and follow thxs
1.05E+18,10/24/2018 1:29,go follow my snapchat at thxs
1.05E+18,10/18/2018 19:27,ohhh any tea
1.05E+18,10/14/2018 21:53,rt watched the first episode of the new series last night i don think i xe x xve ever been this excited to start something rea
1.05E+18,10/14/2018 20:41,do not be sad nolan
1.05E+18,10/14/2018 20:39,wow how tmblr lol
1.05E+18,10/14/2018 20:36,rt feels like fall xf xf xd x
1.05E+18,10/14/2018 20:12,rt living with ian is actually soo good and fresh i just came home and he cleaned the entire house while i was gone adf xf xf xf xb
1.05E+18,10/14/2018 20:12,rt i just asked my mom what day black friday was on this year holyshit xe x x xef xb xfa
1.05E+18,10/14/2018 20:09,rt mood remain in blanket burrito until my problems go away
1.05E+18,10/14/2018 18:45,i took this pic at sandy hooks
1.05E+18,10/13/2018 20:40,found this flower
1.05E+18,10/13/2018 20:37,at sandy hooks
1.05E+18,10/12/2018 1:27,i have to go back to therapy bc i was diagnosed with ptsd and anxiety and depression at around years old i'm n
1.05E+18,10/12/2018 1:23,rt wow i have really good people in my life right now
1.05E+18,10/12/2018 1:22,rt seriously love seeing all you guys with our new book feeling so blessed xe xd xa xef xb xf
1.05E+18,10/12/2018 1:21,rt in the mood for a nice salad xf xf xa x then some chocolate ice cream to top it off afterwards d
1.05E+18,10/12/2018 1:20,dose any want a cover of not your barbie girl retweet if so and or comment
1.05E+18,10/11/2018 21:47,rt it not too often that we hear new music that sounds as dope as this xf xf xf xbcaaa found another new artist to listen to af
1.05E+18,10/11/2018 21:09,rt ok love
1.05E+18,10/11/2018 2:08,rt adthis made me so emotional xe xd xa xef xb xf when i was a young girl my mother had a nervous breakdown and back then she was given shock tre
1.05E+18,10/11/2018 2:08,rt i xe x xve never been more excited to post an ig photo than i am for today pic xe xc xa xf xf xc x xf xf xf xbc xe x x xef xb xf
1.05E+18,10/11/2018 2:08,rt i just fucking screamed ohhh my goddd who is she
1.05E+18,10/11/2018 2:07,rt a
1.05E+18,10/10/2018 22:42,lol
1.05E+18,10/10/2018 22:22,sipping facts
