id,created_at,text
1.07E+18,11/26/2018 17:07,it my th time seeing tonight
1.07E+18,11/22/2018 3:12,working on being a better person brb
1.07E+18,11/22/2018 2:24,rt i dirt at buying presents for people especially for cassy but this year anytime she said she wanted something even the
1.07E+18,11/21/2018 20:57,can hack the fact my landlord moved a creepy as fuck year old man in with young lasses like imagine being too
1.07E+18,11/21/2018 8:01,rt my mom didnt let me play animal crossing for a while because when i got a note saying that my neighbor hazel the squirre
1.07E+18,11/21/2018 0:40,rt me trying to hold in my i love you guys speech when the liquor hit
1.06E+18,11/20/2018 21:08,rt find the emo na xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbfa xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbf na xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbfa xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbf na xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbfa xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbf na xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbfa xf xf xf xbba xf xf xf xbca xf xf xf xbda xf xf xf xbea xf xf xf xbf n ncan find it n nthat xe x x
1.06E+18,11/20/2018 12:53,rt yll need to watch this at some point she knew there something wrong with her dad that look on her face
1.06E+18,11/20/2018 11:22,rt went to the shops to get some food and the last thing the man put in the bag was my tortilla wraps n he went nd that a
1.06E+18,11/20/2018 11:20,god i chat so much shit when i drunk
1.06E+18,11/20/2018 11:20,rt a lot of y'all need to stop throwing people's past in their faces when you see them improving and growing because you fe
1.06E+18,11/19/2018 21:53,rt imagine how much easier and better life would be if you were born into the kardashian family
1.06E+18,11/19/2018 20:42,rt isn it funny that when you have a crush on someone everything about them is perfection but when u get over it you realize the
1.06E+18,11/19/2018 6:21,rt my mental the amount n health of money in my
1.06E+18,11/19/2018 4:53,rt genuinely cannot remember the last time i went out n actually looked nice
1.06E+18,11/19/2018 4:51,rt yeah it sooooo funny she out here working her ass off to make a living and you want to lie to her face that people
1.06E+18,11/19/2018 4:48,rt for everyone who always asks what gssslighting is this is it she's upset because she's had a long day and he ate her r
1.06E+18,11/18/2018 11:22,rt wasted so much time this year on people who just weren worth it
1.06E+18,11/18/2018 9:53,there a crazy looking man on the bus and i pretty sure he speaking in tongues
1.06E+18,11/17/2018 23:44,rt my cousin met her husband five years ago on tinder and are now married with kids but she still has him in her phone as tom tin
1.06E+18,11/17/2018 20:19,rt will never understand couples who post things like happy anniversary i know we fight all the time and absolutely despise
1.06E+18,11/17/2018 18:37,you ever woke up at someone house and they have left am not a fan
1.06E+18,11/17/2018 13:58,arianna literally admitted she sent her an inappropriate photo how can you fathom defending her
1.06E+18,11/17/2018 6:18,rt wakes up n nmy brain ndon do it ndon do it ndon do it ndon do it ndon do it ndon do it ndon do it ndon do it ndon do
1.06E+18,11/17/2018 3:26,v content with the way things are going in my life rn
1.06E+18,11/16/2018 23:17,rt having a wholesome day with friends n nmy brain ndon say it ndon say it ndon say it ndon say it ndon say it nd
1.06E+18,11/16/2018 23:11,rt don let ur husband stop u from finding the love of ur life ladies
1.06E+18,11/16/2018 23:10,rt someone slightly raises their voice at me n nmy brain ndo not do it ndo not do it ndo not do it ndo not do it ndo not do it ndon
1.06E+18,11/16/2018 17:01,rt this is the saddest thing i xe x xve seen all month
1.06E+18,11/16/2018 17:00,rt that john lewis ad is so moving nothing says christmas like watching a millionaire remember how he made his millions
1.06E+18,11/16/2018 16:58,rt friday night n i absolutely skint n nmy brain ndon say it ndon say it ndon say it ndon say it ndon say it ndon say
1.06E+18,11/16/2018 16:54,rt drops one molly n nme i do not feel shit i'm taking another one n n both pills hit at once n nme
1.06E+18,11/16/2018 16:53,rt just in case you having a bad day enjoy this video of my sister realizing that we don live inside the earth htt
1.06E+18,11/15/2018 17:22,rt talking to a tory n nmy brain ndon say it ndon say it ndon say it ndon say it ndon say it ndon say it ndon say it ndo
1.06E+18,11/15/2018 17:21,rt me tory cabinet members n n xf xf xa xd n quitting when things n get too hard
1.06E+18,11/15/2018 17:08,rt why does half of twitter think they're going to lead a communist uprising when they're too scared to order pizza on the ph
1.06E+18,11/15/2018 17:08,rt i really enjoying the season finale of the uk
1.06E+18,11/15/2018 16:34,netflix you right
1.06E+18,11/15/2018 16:31,rt theresa may resign challenge
1.06E+18,11/15/2018 16:30,rt toxic person i miss you n nmy pussy ndon do it ndon do it ndon do it ndon do it ndon do it ndon do it ndon do it ndon
1.06E+18,11/15/2018 16:30,rt soulmates don have to be ppl who u are romantically involved with sometimes ur soulmate is literally ur best friend
1.06E+18,11/15/2018 16:29,rt thristy is saying i never fucked nicki because she gotta man but when that over then i first in line xf xf xa x
1.06E+18,11/14/2018 21:46,proper stupid how one bedroom places are so expensive like i don want to live with weird strangers again next yea
1.06E+18,11/14/2018 21:39,rt the fact that i procrastinate and still get shit done is the reason i can stop procrastinating
1.06E+18,11/14/2018 21:38,rt when you wanna be left alone so you walk around with your headphones in and nothing playing
1.06E+18,11/14/2018 21:38,rt it should be illegal to open a window on the train between october and march without conducting a carriage wide referendum
1.06E+18,11/14/2018 20:27,rt no afternoon november
1.06E+18,11/14/2018 20:26,rt they are amazing xf xf xd x leaf-cutter bees are solitary gentle pollinators that opt to construct egg chambers out of leaves
1.06E+18,11/14/2018 17:54,kylie jenner christmas pallete looks amazing i wish i wasn so poor ad
1.06E+18,11/14/2018 17:37,rt their house completely burned down and instead of victimizing themselves they acknowledged their privilege and started helpin
1.06E+18,11/14/2018 17:35,rt minor inconvenience happens n nmy brain ndon say it ndon say it ndon say it ndon say it ndon say it ndon say it ndon
1.06E+18,11/14/2018 16:13,rt
1.06E+18,11/14/2018 16:13,rt i cant believe the madeline mccan case has been granted more money when victims of grenfell still arent homed amp the nhs is fal
1.06E+18,11/14/2018 15:20,rt me logs into account n n gt username and or password is incorrect n nme attempts to make new password n n gt new password ca
1.06E+18,11/14/2018 4:36,rt can someone teach me how to go to bed early
1.06E+18,11/14/2018 4:33,rt early movies are the reason why we like this
1.06E+18,11/14/2018 3:47,rt someone date me and treat me right so i can shut the fuck up already
1.06E+18,11/14/2018 3:46,rt sex is great but has a person you've cuddled with ever start to scratch your head or back without you having to ask shi
1.06E+18,11/14/2018 1:48,rt stan lee was racist
1.06E+18,11/14/2018 1:46,rt why is my face so round
1.06E+18,11/13/2018 20:30,rt av got a serious case of fat bastard syndrome someone stop me eating shite afore it too late
