id,created_at,text
1.07E+18,11/26/2018 15:06,everyone knows that tho
1.07E+18,11/26/2018 15:02,twitter does not lie
1.07E+18,11/26/2018 15:01,yes yes it is i do not return your crush a
1.07E+18,11/26/2018 14:59,inari stop this nonsense smh
1.07E+18,11/26/2018 14:58,inariiiiiiiiii
1.07E+18,11/26/2018 14:54,drumsticks
1.07E+18,11/26/2018 14:53,yusuke explain
1.07E+18,11/26/2018 14:51,dank xf xf xa x
1.07E+18,11/26/2018 14:46,nononononononononononononononononononononononononononononono
1.07E+18,11/26/2018 14:45,rt ladies if he n n-never texts you first n-never uses his real name n-claims a house cat insists he sleep after a single
1.07E+18,11/26/2018 14:44,he said my damn video game guys he could not beat the boss level
1.07E+18,11/26/2018 0:19,i will not be your wife now get out
1.07E+18,11/26/2018 0:13,look ma n nim flipping the bird
1.07E+18,11/25/2018 16:06,rt hey guys admin here recently i have joined in a persona project called midnight channel the musical currently
1.07E+18,11/25/2018 16:05,guys they did surgery on a grape
1.07E+18,11/25/2018 14:04,it is he yusuke the king of breaking his own neck
1.07E+18,11/25/2018 2:20,he broke the chain how dare u break the chain
1.07E+18,11/25/2018 2:19,gramps they did surgery on a grape
1.07E+18,11/25/2018 2:19,they did surgery on a grape
1.07E+18,11/25/2018 2:16,rt bbbb come to americaaaaaaaaaaaaa
1.07E+18,11/25/2018 2:16,hey they usually announce stuff with this keep your hopes up
1.07E+18,11/25/2018 1:56,rt b xe x xbd xe xbd x xe x x xe xf xc xe x x p
1.07E+18,11/25/2018 1:56,i n n xe xa xaa am straight n n xe xa xaa am bi n n xe xa xaa am gay n n am groot
1.07E+18,11/24/2018 21:13,the same poses n nthe same headshape n nthe same eyecolor n ncoincidence n ni think not
1.07E+18,11/24/2018 17:52,rt xe x xbc xe x x xe x xb xe x xe xe xa xb xe x xba xe x xe xe xe xa xe x xe xe xa xb xe x xb xe x xb xe x x xe x xf xe x x xe x xba xe x x xe x xb xe x x xe x x xe x xf xe xbf xb xe x x xe x xa xe x xf xe xb xa xe x xb xe xb xb xe x x xe x xe xef xbc x xef xbc x
1.07E+18,11/24/2018 13:14,that was a pretty sheety joke you made
1.07E+18,11/23/2018 16:54,she sang true story actually
1.07E+18,11/23/2018 14:14,daughtership ended with sojiro neo featherman hawk is my father now
1.07E+18,11/23/2018 14:07,futabafriday n nkaraoke with my fellow social outcasts naoya and marie srsly tho naoya what are you doing
1.07E+18,11/22/2018 23:14,rt busy with the family but i could not help but sketch something for today whatever your plans are be safe and have fun
1.07E+18,11/22/2018 18:10,rt like hug for renren n rt one kiss on the forehead for renren
1.07E+18,11/22/2018 15:59,bbbbb
1.07E+18,11/22/2018 15:56,his proficiency is so good that he can give me a princess braid for cosplay
1.07E+18,11/22/2018 15:19,rt happy thanksgiving aka turkey day n nthe children each have a turkey for you n n wait marie why is that turkey cooked n nm
1.07E+18,11/22/2018 14:34,this is not over inari n nit is not over
1.07E+18,11/22/2018 14:30,to all the americans happy thanksgiving day n ni i live in japan n n i'm gonna say it anyway n ni'm thankful for e
1.07E+18,11/22/2018 14:15,me and yusuke do this everyday except we switch places
1.07E+18,11/22/2018 13:26,fuck i owe ryuji a hundred yen now why did i make that bet
1.07E+18,11/22/2018 13:23,wow yusuke really setting the bar low there
1.07E+18,11/22/2018 8:37,rt
1.07E+18,11/22/2018 8:35,e
1.07E+18,11/22/2018 4:01,rt my children in d aka the socially inept trio n nmodel rips for marie futaba and leblanc xelandis nxnalara naoya edit
1.07E+18,11/21/2018 21:25,two dorks in their natural habitat
1.07E+18,11/21/2018 16:16,i was just walking through shibuya trying to get some new video games and then i see ren holding up this sign n n
1.07E+18,11/21/2018 1:34,but i have ligma xf xf xa x xf xf xa x xf xf xa x
